area,feature_or_mechanism,status,source_of_truth,verification,last_checked,risk_if_regresses,next_check_or_owner_note
agent_observability,Effective model/profile visibility in Agent Detail and Live Runs,implemented,"run contextSnapshot paperclipModelProfile fields plus Agent Detail/Active Agents/Issue Run Ledger UI","Backend exposes requested/applied/source/fallback profile metadata and UI surfaces effective profile/quota lane badges for live and recent runs",2026-07-06,"Owner may think an agent used the static model when router actually downgraded/escalated it if future UI removes these badges","Keep effective model/profile badges in Agent Detail, Active Agents, Live Runs, and Issue Run Ledger; do not rely only on adapterConfig.model"
agent_model_assignment,Agent-to-model diversification by role,implemented_with_observability_caveat,softwarehouse/model-router.config.json,"namePrefixDefaults map strategy/technology/security/devops to reasoning/standard and PM/design/ops to light; static adapter model fields remain legacy-looking",2026-07-06,"Future audits that read only adapterConfig.model may falsely conclude routing is not diversified","Use router config and run metadata as truth; surface effective profile in UI"
costs_optimization,Automatic success-based model optimization,planned_foundation,softwarehouse/model-economics.config.json and /costs/model-profiles,"success targets and profile run outcomes exist; automatic policy mutation based on success history is not yet enabled",2026-07-06,"System may keep using a costly profile even after lighter lanes prove sufficient","Future CFO/CTO task: propose conservative auto-tuning with human approval"
provider_catalog,Live provider model/limit catalog,partial,"model-economics config and provider quota endpoints","OpenAI references recorded; live provider exposes quota windows but not full per-model hard limits",2026-07-06,"Hardcoded assumptions may drift as OpenAI changes models or subscription limits","Refresh via official OpenAI docs and observed Codex UI/quota telemetry"
backup_restore,Recoverability from repo plus instance data,partial_with_audit_guard,"git repos plus tracked .paperclip/agent-instructions plus runtime instance data plus scripts/audit-softwarehouse-runtime-file-state.mjs","Runtime file-state audit now checks active instruction roots and agent config path references; full restore drill still remains separate",2026-07-06,"Deleting Paperclip_Softwarehouse repo alone may be recoverable only from git; deleting ~/.paperclip instance can still lose live company database/runtime state","Keep backups enabled and run softwarehouse:runtime-file-state-audit after backup/restore; still perform a restore drill before calling this complete"
cleanup_safety,Safe cleanup classification,implemented_with_runtime_audit,AGENTS.md boundary rules plus scripts/audit-softwarehouse-runtime-file-state.mjs,"Instruction bundle loss is now guarded by a runtime audit that fails on missing active instruction roots or missing agent config path references",2026-07-06,"Cleanup can remove files required by live Paperclip even when DB still has references if the audit is skipped","Before deletion, run softwarehouse:runtime-file-state-audit and workspace-boundary-audit; prefer recycle/archive; never delete active instance roots without explicit verified backup"
agent_instructions,Rich Markdown instruction/persona bundles,implemented_with_quality_audit,"tracked .paperclip/agent-instructions roots plus scripts/audit-softwarehouse-agent-instructions.mjs and docs/softwarehouse-agent-instruction-audit.md","39 active agents audited; all bundles have AGENTS.md plus references, unique hashes, and persona/scope/evidence/safety/model/hierarchy signal coverage",2026-07-06,"Agents may still have files but lose role personality, scope, model/cost awareness, or evidence gates; humans may misread per-agent bundles as missing because there is no central personas folder","Run softwarehouse:agent-instructions-audit after agent creation, restore, cleanup, or instruction template changes; consider a generated personas index later"
docs_memory,Durable v0/v1 solution index,implemented,docs/softwarehouse-v0-v1-solution-index.csv,"Index records requested and inferred mechanisms, v0/v1 status, evidence, open gaps, owners, and last verification date",2026-07-10,"Future work may forget which mechanisms exist, which are partial, and which gates still block v0/v1","Read and update the solution index before broad Softwarehouse/Paperclip changes"
environment_windows,Explicit runtime for JavaScript and TypeScript helpers,implemented,"AGENTS.md; softwarehouse/instructions/shared/05-environment-operations.md; scripts/audit-softwarehouse-agent-instructions.mjs","Node dry-runs execute both Paperclip helpers; focused gate tests pass 170/170; all 39 managed bundles pass runtime-invocation audit coverage",2026-07-15,"Bare .js/.mjs/.cjs/.ts paths can open VS Code or Notepad and leave the intended issue update or artifact upload undone","Run softwarehouse:agent-instructions-audit after instruction sync and retain explicit node/tsx examples"
runtime_topology,Docker Compose one-off lifecycle guard,implemented,"scripts/lib/docker-compose-oneoffs.mjs; scripts/run-compose-oneoff-janitor.mjs; scripts/audit-local-runtime-topology.mjs; scripts/run-softwarehouse-control-tick.mjs; shared environment and completion instructions","LUC-659 residue was reproduced and removed; focused classifier tests pass; every control tick now applies bounded stale cleanup then fails closed on remaining ambiguous topology before dispatch; live topology has zero one-offs",2026-07-17,"Retained proof containers can look like duplicate services reserve canonical ports consume disk and confuse future agents","Use docker compose run --rm; keep the bounded janitor and topology gate early in every control tick; inspect rather than broadly delete active mounted or ambiguous containers"
run_log_continuity,Historical run-log reads after runtime-home relocation,implemented,"server/src/services/run-log-store.ts; server/src/__tests__/run-log-store.test.ts","Focused tests prove fallback and primary precedence; live authorized API readback recovered the historical LUC-659 transcript from the same-instance legacy root",2026-07-17,"Agents may repeat investigations when database run rows survive but their transcripts appear missing after runtime relocation","Keep writes on the active root; retain read-only same-instance fallback until normal backup and retention policy removes legacy logs"
runtime_binding_scope,Binding audits and assignee repair respect issue execution state,implemented,"scripts/audit-luckysparrow-softwarehouse.mjs; scripts/repair-runtime-binding-assignees.mjs; scripts/softwarehouse-gate-specs.test.mjs","LUC-1387 review and user-owned LUC-1368 no longer produce false missing-binding findings or reassignment actions; runnable agent-owned work remains checked",2026-07-17,"Review or operator gates can be churned toward runtime agents if status and owner type are ignored","Require agent ownership plus todo or in_progress before reporting binding drift or attempting runtime-owner repair"
organizational_orientation,Governed organizational memory and learning ingestion,implemented,"scripts/lib/organizational-memory.mjs; skills/paperclip/scripts/paperclip-organizational-memory.mjs; softwarehouse/instructions/shared/72-organizational-memory-and-learning.md; scripts/run-softwarehouse-learning-loop.mjs; server/src/routes/organizational-observations.ts; scripts/audit-softwarehouse-operating-standard.mjs","252 focused contracts and 7 backend lifecycle tests pass; 39 instruction bundles and 39 operating-standard bundle entries pass; live API/UI contain 12 unique assigned proposed observations with zero alerts; repeated apply is idempotent",2026-07-17,"Pages can regress to empty stores or noisy duplicate activity; centrally created observations can become ownerless and never reach validation; auditing a stale user-home can produce false drift","Keep dedupe provenance stable; retain owner-or-creator route authorization; resolve the active repo-managed runtime in audits; keep backfill bounded and records explicit"
owner_cockpit,Softwarehouse control and project delivery observability,implemented,"sanitized /softwarehouse/status endpoint; Dashboard and Softwarehouse control panels; Project Overview delivery panel; mounted company Artifacts projection route; routed Artifacts and Teams; Evidence Learning summary; centralized company route roots and aliases","UI typecheck and production build pass; latest route/artifact contracts pass 17/17; direct Softwarehouse Artifacts Memory and Evidence routes resolve to LUC; live data matches the API; clean desktop/mobile smoke has one main landmark no overflow and no console errors; served UI matches the build",2026-07-18,"Owner can mistake idle for blocked lose evidence surfaces or authorize work from stale/raw control data if navigation freshness or first-visible evidence selection regresses","Generate companyless redirects from the central route registry; smoke all owner routes against the actually served server/ui-dist; preserve stale and unavailable fail-closed states"
cli_config_parity,Complete CLI constructors and Windows-portable verification,implemented,"cli/src/commands; cli/src/prompts; cli/src/config/server-bind.ts; cli/src/checks/secrets-check.ts; cli/src/__tests__","CLI typecheck passes; focused configuration suite passes 25/25; worktree suite passes 35/35; recursive typecheck and production build pass",2026-07-17,"A newly required config field can break configure/onboard/worktree flows or leave generated instances with implicit runtime behavior","Update every constructor and fixture with schema changes; keep Windows path permission port and timeout behavior explicit"
