id,layer,capability,implementation_location,state,persistence,upstream_overlap,upgrade_risk,recommendation,evidence
WIP-05,uncommitted_code,"Next legal action and native control engine","server services",uncommitted,"working tree only",high,critical,"preserve safety invariants in integration branch","candidate projection has no legal canary"
WIP-06,uncommitted_code,"Context admission and run context builder","server services",uncommitted,"working tree only",medium,critical,"retain to control instruction load; integration test adapters","large instruction bundles"
WIP-07,uncommitted_code,"Execution quota and session runtime budget","server services",uncommitted,"working tree only",medium,critical,"merge with upstream budgets without weakening hard stops","dirty source audit"
WIP-08,uncommitted_code,"Migrations 0112-0122","packages/db/src/migrations",uncommitted,"working tree plus possibly live DB",high,critical,"build explicit migration bridge; never copy mechanically","numeric collision with upstream"
OPS-01,operations,"Strict runtime ports","runtime scripts and config",active,"repo scripts plus local environment",low,low,"retain as deployment invariant","3200 and 54329 pass"
OPS-02,operations,"Workspace boundary policy","AGENTS.md and audit script",active,"Git merge required",low,low,"retain and run after config changes","canonical roots pass"
OPS-03,operations,"Cross-project isolation","issue metadata and audit script",failing,"database plus script",medium,high,"fix four Soar canary project markers before execution","4 blockers"
OPS-04,operations,"Database backups",".paperclip runtime data",active,"local disk",high,high,"test restore and copy off the mutable repo runtime","7 backups around 1.324 GB each"
OPS-05,operations,"Runtime from source","node/tsx src/index.ts",active,"working tree",high,critical,"produce immutable release artifact before cutover","live process points at dirty repository"
DATA-01,data,"Standard company export","server portability service",available,"export file",medium,high,"use only alongside full DB backup","does not include local autonomy/delivery/memory tables"
DATA-02,data,"Issue evidence","issues and work products",partial,"database",medium,medium,"require typed evidence for all new done issues","240 of 1781 visible done issues lack typed evidence"
DATA-03,data,"Run history","heartbeat runs",active,"database",high,high,"repair performance and join to outcomes/costs","18822 runs; detail endpoint timed out"
DATA-04,data,"Supervision learning loop","supervision and organization tables",active,"custom DB plus code",high,critical,"increase verified interventions and promotions before scaling","1 verified intervention; 1 promoted learning"
APP-01,product_repo,"Roost product source","C:/Personal/Projekty/Aplikacje/Roost",healthy_dirty,"independent Git repository",low,low,"keep history; clean generated files and review branches","HEAD=origin=deployed; 2 dirty generated files"
APP-02,product_repo,"Soar product source","C:/Personal/Projekty/Aplikacje/Soar",diverged_dirty,"independent Git repository",low,medium,"review and integrate 5 cleanup commits; align deployment","local 5 ahead; 3 untracked; deployed older"
APP-03,product_repo,"Featherly product source","C:/Personal/Projekty/Aplikacje/Featherly",diverged_dirty,"independent Git repository",low,medium,"reconcile patch-equivalent commits and classify Exchange slice","37 local vs 7 origin; dirty vertical feature"
APP-04,product_repo,"Generated evidence retention","Soar Roost Featherly docs/state",overgrown,"Git history",low,medium,"store current truth in Git and bulk evidence as Paperclip artifacts/history","Soar 5121 history/generated-like files"
APP-05,product_repo,"Branch lifecycle","product repositories",overgrown,"Git refs",low,medium,"prune merged branches after unique-commit audit; never bulk-delete unmerged","Roost 62 branches; Soar 229"
UPG-01,upgrade,"Migration namespace","local and upstream migrations",conflicting,"migration journals",high,critical,"renumber/bridge on an isolated restored database","same 0099-0122 IDs with different meanings"
UPG-02,upgrade,"Source overlap","local fork and upstream",diverged,"Git integration",high,critical,"port vertical slices onto a stable upstream tag","572 changed paths overlap"
UPG-03,upgrade,"Rollback unit","code DB config keys",incomplete,"multiple stores",high,critical,"define one coupled snapshot and rehearse rollback","backup exists; restore not tested in this audit"
